"Part";"Value";"Device";"Package";"Description";"";
"16MHZ";"16MHZ";"RESONATOR16MHZ";"RESONATOR-SMD";"Resonator";"";
"A+_UART";"";"M02LOCK_LONGPADS";"1X02_LOCK_LONGPADS";"Header 2";"";
"AT328";"ATMEGA328";"ATMEGA168";"TQFP32-08";"";"";
"C1";"680uF";"CAP_POLPTH4";"CPOL-RADIAL-1000UF-25V";"Capacitor Polarized";"";
"C2";"220u";"CPOL-USE";"PANASONIC_E";"POLARIZED CAPACITOR, American symbol";"";
"C10";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C11";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C12";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C13";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C14";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C15";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C16";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C17";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C18";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C19";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C20";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C21";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C22";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C23";"1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C24";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C25";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C26";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C27";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C28";"0.1uF";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"D1";"40v5A";"SCHOTTKY-DIODESMC";"SMC";"Schottky Diode";"";
"D2";"10V";"DIODE-ZENERSOD-123";"SOD-123";"Zener Diode";"";
"D4";"40v5A";"SCHOTTKY-DIODESMC";"SMC";"Schottky Diode";"";
"D5";"40v5A";"SCHOTTKY-DIODESMC";"SMC";"Schottky Diode";"";
"D6";"";"DIODESMA-ALT";"SMA-DIODE_ALT";"Diode";"";
"EXT1";"EXT";"EXT-DNC";"EXTPINDNC";"";"";
"EXT2";"EXT";"EXT-DNC";"EXTPINDNC";"";"";
"F1";"8A";"PTCPTH";"PTC";"Resettable Fuse PTC";"";
"FLEX";"PLUG-3";"M03";"PLUG_03";"";"";
"GYRO-LED";"PLUG-6";"M06";"PLUG_06";"";"";
"IC1";"LM2596S";"LM2596S";"TO263-5";"SIMPLE SWITCHERÂ® Power Converter 150 kHz 3A Step-Down Voltage Regulator";"";
"IC2";"74ACT244SC";"74S244DW";"SO20W";"Octal BUFFER and LINE DRIVER, 3-state";"";
"INPUT";"PLUG-8";"M08";"PLUG_08";"";"";
"ISP";"AVR_SPI_PRG_62X3_LOCK";"AVR_SPI_PRG_62X3_LOCK";"2X3_LOCK";"AVR ISP 6 Pin";"";
"JP1";"CHARGEUR";"M05X2SHD_LOCK";"2X5-SHROUDED_LOCK";"Header 5x2";"";
"JP2";"regrck";"M01PTH";"1X01";"Header 1";"";
"JP3";"atmega cs";"M01PTH";"1X01";"Header 1";"";
"JP4";"allcs";"M01PTH";"1X01";"Header 1";"";
"JP5";"OE 595";"M01PTH";"1X01";"Header 1";"";
"JP13";"FIDUCIAL1X2.5";"FIDUCIAL1X2.5";"FIDUCIAL-1X2.5";"Fiducial Alignment Points";"";
"JP14";"FIDUCIAL1X2.5";"FIDUCIAL1X2.5";"FIDUCIAL-1X2.5";"Fiducial Alignment Points";"";
"JP19";"FIDUCIAL1X2.5";"FIDUCIAL1X2.5";"FIDUCIAL-1X2.5";"Fiducial Alignment Points";"";
"L1";"68nH3A";"INDUCTORPWR";"CDRH125";"Inductors";"";
"L2";"100nH2.4A";"INDUCTORPWR";"CDRH125";"Inductors";"";
"L3";"100nH2.4A";"INDUCTORPWR";"CDRH125";"Inductors";"";
"LED10W1";"PLUG-2";"M02PLUG";"PLUG_02";"";"";
"LED10W2";"PLUG-2";"M02PLUG";"PLUG_02";"";"";
"LG";"";"LED1206";"LED-1206";"LEDs";"";
"LR";"";"LED1206";"LED-1206";"LEDs";"";
"PROG1";"";"ARDUINO_SERIAL_PROGRAMLOCK";"1X06_LOCK";"";"";
"Q1";"IRF9321PBF";"IRF9321PBF";"SO-8";"";"";
"Q2";"BSS670";"MOSFET-NCHANNELBSS670";"SOT23-3";"Common NMOSFET Parts";"";
"Q3";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";
"Q4";"BSS670";"MOSFET-NCHANNELBSS670";"SOT23-3";"Common NMOSFET Parts";"";
"Q5";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";
"Q6";"BSS670";"MOSFET-NCHANNELBSS670";"SOT23-3";"Common NMOSFET Parts";"";
"Q7";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";
"Q8";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";
"Q9";"BSS670";"MOSFET-NCHANNELBSS670";"SOT23-3";"Common NMOSFET Parts";"";
"Q10";"BSS316";"MOSFET-NCHANNELBSS316";"SOT23-3";"Common NMOSFET Parts";"";
"Q11";"BSS316";"MOSFET-NCHANNELBSS316";"SOT23-3";"Common NMOSFET Parts";"";
"Q12";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";
"Q13";"BSS138";"MOSFET-NCHANNELBSS138";"SOT23-3";"Common NMOSFET Parts";"";
"R1";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R2";"100k1%";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R3";"10k1%";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R4";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R5";"1K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R6";"56K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R7";"56K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R8";"56K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R9";"33K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R10";"33K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R11";"33K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R12";"5.1K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R13";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R14";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R15";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R16";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R17";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R18";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R19";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R20";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R21";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R22";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R23";"0.110";"RESISTOR0805-RES";"0805";"Resistor";"";
"R24";"0.110";"RESISTOR0805-RES";"0805";"Resistor";"";
"R25";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R26";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R27";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R28";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R29";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R30";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R31";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R32";"100K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R33";"20K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R34";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R35";"20K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R36";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R37";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R38";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R39";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R40";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R41";"1K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R42";"1K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R43";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R44";"10K";"RESISTOR0603-RES";"0603-RES";"Resistor";"";
"R45";"OPTIONAL";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"R46";"OPTIONAL";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";
"RAW_IN";"DNC_IN2PWR";"DNC_IN2PWR";"DNC_IN2_PWR";"";"";
"RELAY";"PLUG-3";"M03";"PLUG_03";"";"";
"RELAY1";"G5L";"G5L";"G5LE";"RELAY";"";
"RS232";"";"M03LOCK";"1X03_LOCK";"Header 3";"";
"S1";"";"31-XX";"B3F-31XX";"OMRON SWITCH";"";
"SJ3";"JUMPER-PAD-2-NC_BY_PASTE";"JUMPER-PAD-2-NC_BY_PASTE";"PAD-JUMPER-2-NC_BY_PASTE_YES_SILK";"";"";
"TITREUR1";"DNC_TITREUR";"DNC_TITREUR";"DNC_TITREUR";"";"";
"TITREUR2";"DNC_TITREUR";"DNC_TITREUR";"DNC_TITREUR";"";"";
"TVS";"TVS-30V";"TVS";"SMA-DIODE";"";"";
"U$1";"RADIATEUR";"RADIATEUR";"RADIATEUR_577102B00000G";"";"";
"U$2";"LOGO";"LOGO";"KXKMLOGO";"";"";
"U$4";"RASPIA+";"RASPIA+";"RASPIA+";"";"";
"U$8";"RJ45-EXTDNC";"RJ45-EXTDNC";"RJ45-TRAFO";"dnc";"";
"U1";"MAX202CDWR ";"MAX232SOIC16";"SO016";"RS232 Transceiver";"";
"U2";"74HCT595D";"74HCT595D";"SO16";"8-bit SHIFT REGISTER, output latch";"";
"U3";"TC7SU04F";"INVERTER_SOT23-5";"SOT23-5";"Single inverter, SOT23-5";"";
"U4";"AL8805WS";"AL8805";"SOT23-5";"Constant current LED driver";"";
"U5";"AL8805WS";"AL8805";"SOT23-5";"Constant current LED driver";"";
"U6";"TC7SU04F";"INVERTER_SOT23-5";"SOT23-5";"Single inverter, SOT23-5";"";
